id,date_start,type_of_violence,conflict_name,dyad_name,side_a,side_b,country,adm_1,adm_2,latitude,longitude,best,low,high,deaths_civilians,deaths_a,deaths_b,deaths_unknown,where_description,active_year,month
492761,2023-09-06,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Zaporizhzhya oblast,Polohy raion,47.427906,35.985916,3,3,3,0,0,3,0,"near the village of Verbove, Pologiv District, Zaporizhzhia Region",True,2023-09
485303,2023-06-28,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,,,49.0,32.0,56,56,56,0,56,0,0,Ukraine,True,2023-06
504340,2023-02-20,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.57218,37.91742,1,1,1,0,0,1,0,near the village of Ivanovske near Bakhmut in Donetsk region.,True,2023-02
503311,2023-12-12,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Luhansk oblast,Severodonetsk raion,49.00048,38.11234,2,2,2,0,0,2,0,in the area of the village of Chervonaya Dibrova of the Lugansk People's Republic,True,2023-12
541930,2024-03-19,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,,,49.0,32.0,3,3,15,0,0,3,0,,True,2024-03
560604,2024-09-07,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kharkiv oblast,Kharkiv raion,50.20366,36.40774,1,1,1,0,0,1,0,"Lyptsi, Lypetska rural community, Kharkiv District, Kharkiv Oblast",True,2024-09
499267,2023-11-09,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,,,47.704948,36.705201,2,2,433,0,2,0,0,Melitopol direction / Tavria direction,True,2023-11
513656,2024-02-14,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Kherson raion,46.57574,32.4416,1,1,1,0,0,1,0,"in the areas of the settlements of Tyahinka, Ivanivka and Yantarne in the Kherson region",True,2024-02
535902,2023-11-02,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Luhansk oblast,,48.92,39.02,1,1,1,0,0,1,0,Luhansk Oblast,True,2023-11
493029,2023-10-01,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Kakhovka raion,46.750488,33.367315,1,1,1,1,0,0,0,"Nova Kakhovka, Kherson region",True,2023-10
475923,2023-05-25,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,,46.6406,32.61589,2,2,2,0,0,2,0,Kherson direction,True,2023-05
492263,2023-01-01,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.592436,37.99993,1,1,1,0,0,1,0,city of Bakhmut in Donetsk region,True,2023-01
442781,2022-07-12,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.813056,38.195556,2,2,2,0,2,0,0,the direction of Spirno - Ivano-Daryevka,True,2022-07
482497,2023-07-18,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Kherson raion,46.63695,32.61458,2,2,2,0,0,2,0,"Kherson direction
in the area of Kherson and Antonovka",True,2023-07
494327,2023-10-10,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.145278,37.745,2,2,2,0,0,2,0,Avdiivka,True,2023-10
470205,2023-04-05,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Luhansk oblast,Severodonetsk raion,49.12941,38.15236,2,2,2,0,0,2,0,Krasnolymansk direction: areas of the settlements of Chervonaya Dibrova and Chervonopopovka of the Luhansk People's Republic,True,2023-04
441608,2022-06-24,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Kherson raion,46.63695,32.61458,1,1,1,0,1,0,0,Kherson KhBK microdistrict,True,2022-06
448144,2022-07-17,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,,,49.0,32.0,28,28,28,0,28,0,0,Ukraine,True,2022-07
494614,2023-10-13,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Volnovakha raion,47.78031,37.25064,1,1,1,0,0,1,0,Vugledarsky direction,True,2023-10
523846,2024-02-04,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.112409,37.772318,7,1,13,0,7,0,0,Avdiivka,True,2024-02
541589,2024-03-09,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.59348,37.85724,1,1,1,0,0,1,0,"Chasiv Jar, Chasovoiarska urban community, Bakhmut District, Donetsk Oblast",True,2024-03
511328,2024-02-04,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Kramatorsk raion,49.06993,37.95459,2,2,2,0,0,2,0,in the area of the village of Yampolovka in the Donetsk People's Republic,True,2024-02
523804,2024-03-30,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.53001,37.96052,1,0,3,0,1,0,0,Bakhmut [near Klyshchiivka],True,2024-03
441103,2022-06-13,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Donetsk raion,48.132482,37.911149,1,1,1,1,0,0,0,the village of Zemlyanki in the settlement of Makeevka,True,2022-06
454182,2022-11-08,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Kherson raion,46.63695,32.61458,1,1,1,0,0,1,0,near the southern city of Kherson,True,2022-11
523349,2024-05-03,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.807965,38.240373,8,1,16,0,8,0,0,"Spirne, Bakhmut raion",True,2024-05
451325,2022-10-15,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Luhansk oblast,,48.21,39.33,2,2,2,0,0,2,0,LPR,True,2022-10
474069,2023-05-02,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,,,49.337121,37.878161,2,2,36,0,2,0,0,Lymano-Kupian direction,True,2023-05
495925,2023-08-24,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,47.987053,37.271787,1,1,1,0,0,1,0,near Kurakhovo,True,2023-08
539529,2024-09-03,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Lviv oblast,Lviv raion,49.840265,24.028909,8,8,8,8,0,0,0,In Lviv,True,2024-09
468974,2023-03-20,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Volnovakha raion,47.78031,37.25064,1,1,1,0,0,1,0,in the town of Vulhedar,True,2023-03
555128,2024-11-17,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Zaporizhzhya oblast,,47.83972,35.14057,2,2,2,0,0,2,0,"in the areas of the settlements of Malaya Tokmachka, Novodanilovka of the Zaporozhye region, Blakytne, Olgovka and Nikolskoye of the Kherson region",True,2024-11
461995,2023-01-26,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kharkiv oblast,Kupiansk raion,49.56723,37.8322,2,2,2,0,0,2,0,"Kupyansk direction: area of ​​​​the settlement of Peschanoe, area of ​​​​the settlement of Sinkovka, Kharkiv region",True,2023-01
442898,2022-07-15,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.223333,37.871944,2,2,2,2,0,0,0,Verkhnetoretskoye,True,2022-07
